X1,X2,X3,X4,X5,X6,Y
52.1,60,2,20,80,0,15.26
52.1,60,2,20,80,0,21.23
52.1,60,2,20,80,0,21.6
52.1,60,2,20,80,0.05,15.77
52.1,60,2,20,80,2.01,11.98
52.1,60,2,20,80,2.1,13
52.1,60,2,20,80,3.56,11.36
52.1,60,2,20,80,4.29,12.05
52.1,60,2,20,80,5.85,6.08
52.1,60,2,20,80,6.79,8.3
52.1,60,2,20,80,9.01,7.35
52.1,60,2,20,80,9.02,7.03
52.1,60,2,20,80,0,6.15
52.1,60,2,20,80,0,3.93
52.1,60,2,20,80,0.6,10.71
52.1,60,2,20,80,1.7,14.2
52.1,60,2,20,80,3.28,7.43
52.1,60,2,20,80,3.74,10.71
52.1,60,2,20,80,4.09,7.14
52.1,60,2,20,80,6.77,7.9
52.1,60,2,20,80,0,21.63
52.1,60,2,20,80,4,11.8
52.1,60,2,20,80,6.1,6.22
29,69,2,12,69.96,0,11.21
29,69,2,12,69.96,0.1,14.13
29,69,2,12,69.96,0.46,17.56
29,69,2,12,69.96,0.8,16.74
29,69,2,12,69.96,0.88,15.42
29,69,2,12,69.96,0.94,11.74
29,69,2,12,69.96,1,11.14
29,69,2,12,69.96,1.24,9.51
29,69,2,12,69.96,1.34,8.68
29,69,2,12,69.96,1.52,8.02
29,69,2,12,69.96,2.8,4.7
29,69,2,12,69.96,3.2,6.95
29,69,2,12,69.96,3.92,5.17
39.9,45,2,10,50,0,20.78
39.9,45,2,10,50,2.21,20.98
39.9,45,2,10,50,2.52,21.12
39.9,45,2,10,50,3.15,19.63
39.9,45,2,10,50,4.75,18.73
39.9,45,2,10,50,8.19,10.1
25,93.96,2,12,60,0,18.37
35,93.96,2,12,60,0,22.13
45,93.96,2,12,60,0,26.51
25,92,2,16,80,0,18.22
35,92,2,16,80,0,22.92
45,92,2,16,80,0,26.1
25,90,2,20,100,0,17.37
35,90,2,20,100,0,21.37
45,90,2,20,100,0,25.04
25,93.96,2,12,60,1.76,17.75
25,93.96,2,12,60,4.14,16.91
35,93.96,2,12,60,0.51,21.82
35,93.96,2,12,60,3.36,20.08
35,93.96,2,12,60,5.05,19.05
45,93.96,2,12,60,1.11,24.82
45,93.96,2,12,60,2.05,23.79
45,93.96,2,12,60,4.79,20.76
25,92,2,16,80,9.96,14.73
35,92,2,16,80,5.73,19.3
35,92,2,16,80,7.52,18.18
45,92,2,16,80,1.88,24.01
45,92,2,16,80,2.94,22.84
45,92,2,16,100,6.02,19.42
45,90,2,20,100,6.78,17.83
25,94,2,12,60,0,18.37
35,94,2,12,60,0,22.13
45,94,2,12,60,0,26.51
