X1,X2,X3,X4,X5,X6,Output
55.4,28.96,1,16,160,0,1.95
55.4,28.96,1,16,160,0.31,2.69
55.4,28.96,1,16,160,1.18,2.02
55.4,28.96,1,16,160,3.3,0.7
55.4,28.96,1,16,160,3.12,1.86
55.4,28.96,1,16,160,0,1.87
55.4,28.96,1,16,160,0.93,4.36
55.4,28.96,1,16,160,2.11,5
55.4,28.96,1,16,160,3.36,4.26
55.4,28.96,1,16,160,4.59,3.51
55.4,28.96,1,16,160,0,2.09
55.4,28.96,1,16,160,0.66,2.34
55.4,28.96,1,16,160,0.78,4.27
55.4,28.96,1,16,160,2.12,5.98
55.4,28.96,2,16,160,2.65,4.43
55.4,28.96,2,16,160,0,7.13
55.4,28.96,2,16,160,0.6,9.08
55.4,28.96,2,16,160,0.99,6.23
55.4,28.96,2,16,160,1.55,3.44
55.4,28.96,2,16,160,2.72,1.48
55.4,28.96,2,16,160,0,8.02
55.4,28.96,2,16,160,0.41,8.17
55.4,28.96,2,16,160,1.69,9.68
55.4,28.96,2,16,160,2.82,7.64
55.4,28.96,2,16,160,4.37,6.76
55.4,28.96,2,16,160,0,8.8
55.4,28.96,2,16,160,0.85,10.33
55.4,28.96,2,16,160,1.29,10.69
55.4,28.96,2,16,160,2.17,11.77
55.4,28.96,2,16,160,4.58,10.41
20.7,91.08,2,18,79.92,0,11.18
20.7,91.08,2,18,79.92,0.16,1.92
20.7,91.08,2,18,79.92,0.1,12.31
20.7,91.08,2,18,79.92,0.26,11.45
20.7,91.08,2,18,79.92,3.56,11.84
20.7,91.08,2,18,79.92,3.19,13.37
20.7,91.08,2,18,79.92,3.66,13.61
20.7,91.08,2,18,79.92,3.56,14.47
20.7,91.08,2,18,79.92,7.74,9.96
20.7,91.08,2,18,79.92,7.4,10.24
20.7,91.08,2,18,79.92,6.93,11.29
20.7,91.08,2,18,79.92,6.85,11.88
20.7,91.08,2,18,79.92,10.48,8.67
20.7,91.08,2,18,79.92,9.31,8.71
20.7,91.08,2,18,79.92,8.97,9.61
20.7,91.08,2,18,79.92,10.14,9.69
20.7,91.08,2,18,79.92,13.73,6.12
20.7,91.08,2,18,79.92,14.59,6.55
20.7,91.08,2,18,79.92,13.96,7.57
20.7,91.08,2,18,79.92,14.33,8.2
44.4,91.08,2,18,79.92,0.05,15.45
44.4,91.08,2,18,79.92,0,17.18
44.4,91.08,2,18,79.92,0.1,19.1
44.4,91.08,2,18,79.92,0.05,19.41
44.4,91.08,2,18,79.92,3.14,18.31
44.4,91.08,2,18,79.92,3.4,19.92
44.4,91.08,2,18,79.92,4.03,20.12
44.4,91.08,2,18,79.92,3.01,20.94
44.4,91.08,2,18,79.92,6.77,15.73
44.4,91.08,2,18,79.92,6.9,16.39
44.4,91.08,2,18,79.92,7.19,17.06
44.4,91.08,2,18,79.92,6.9,17.49
44.4,91.08,2,18,79.92,9.31,12.39
44.4,91.08,2,18,79.92,10.3,12.71
44.4,91.08,2,18,79.92,10.64,13.45
44.4,91.08,2,18,79.92,9.99,13.57
44.4,91.08,2,18,79.92,14.43,9.73
44.4,91.08,2,18,79.92,14.33,10.98
